row_index,control_label,control_value,D_MMD,W_1_minus_F
0,step,0.0,0.0,2.4980018054066023e-17
1,step,1.0,0.8826063592273052,0.7333050697887116
2,step,2.0,0.8806748028611868,0.7332683408409971
3,step,3.0,0.8956766741706299,0.7499670310555702
4,step,4.0,0.8490858178928863,0.7047817670360942
5,step,5.0,0.8730116820779535,0.7266816519497803
6,step,6.0,0.8944858504348273,0.7473550936286651
7,step,7.0,0.8533451087141584,0.7062436439267634
8,step,8.0,0.8666279997665495,0.7212908148399209
9,step,9.0,0.8707049882219294,0.7244901540805568
10,step,10.0,0.8698141551931219,0.7225242004469108
11,step,11.0,0.8383449866807896,0.6949752338508501
12,step,12.0,0.8280928124669693,0.6861076696851275
